time	V(input_signal)	V(v_out)
1.969763916081189e-05	9.848820e-02	1.747282e-05
1.998663381515857e-05	9.993317e-02	1.703736e-05
2.057366928068641e-05	1.028683e-01	1.633559e-05
2.116313461892799e-05	1.058157e-01	1.554796e-05
2.144293929323969e-05	1.072147e-01	1.527113e-05
2.146161226668837e-05	1.073081e-01	1.523590e-05
2.147493981569645e-05	1.073747e-01	1.520572e-05
2.148606314072632e-05	1.074303e-01	1.519884e-05
2.149528141310418e-05	1.074764e-01	1.519442e-05
2.150577142750830e-05	1.075289e-01	1.523458e-05
2.151848319638115e-05	1.075924e-01	1.542193e-05
2.153261338762496e-05	1.076631e-01	1.573452e-05
2.155042967032420e-05	1.077522e-01	1.622574e-05
2.157654838950201e-05	1.078827e-01	1.711766e-05
2.166521584428755e-05	1.083261e-01	2.043245e-05
2.173799191893298e-05	1.086900e-01	2.278679e-05
2.182633511904036e-05	1.091317e-01	2.486808e-05
2.190331553837270e-05	1.095166e-01	2.584010e-05
2.197344157869755e-05	1.098672e-01	2.593426e-05
2.204041042377972e-05	1.102021e-01	2.542740e-05
2.211575710499275e-05	1.105788e-01	2.451967e-05
2.227849215259299e-05	1.113925e-01	2.233269e-05
2.235077377387791e-05	1.117539e-01	2.159156e-05
2.240406103562275e-05	1.120203e-01	2.122703e-05
2.247496351087194e-05	1.123748e-01	2.096785e-05
2.254368392048929e-05	1.127184e-01	2.092962e-05
2.283517039103108e-05	1.141758e-01	2.150218e-05
2.298641870790331e-05	1.149321e-01	2.155596e-05
2.310354254373783e-05	1.155177e-01	2.139445e-05
2.332777277595904e-05	1.166389e-01	2.080644e-05
2.346311697747533e-05	1.173156e-01	2.054983e-05
2.361781139886307e-05	1.180891e-01	2.034093e-05
2.391981196154655e-05	1.195991e-01	2.012506e-05
2.423018002391522e-05	1.211509e-01	1.979798e-05
2.441677645664074e-05	1.220839e-01	1.957937e-05
2.486758784385640e-05	1.243379e-01	1.916038e-05
2.520916234959628e-05	1.260458e-01	1.889770e-05
2.535763084250902e-05	1.267882e-01	1.879121e-05
2.539491965273650e-05	1.269746e-01	1.890821e-05
2.542045501665629e-05	1.271023e-01	1.926398e-05
2.544604382883825e-05	1.272302e-01	2.000085e-05
2.546825733796208e-05	1.273413e-01	2.086380e-05
2.553780570369823e-05	1.276890e-01	2.372377e-05
2.560721459916981e-05	1.280361e-01	2.631046e-05
2.568554510115803e-05	1.284277e-01	2.855481e-05
2.575951702257373e-05	1.287976e-01	2.973253e-05
2.582316418508117e-05	1.291158e-01	2.998587e-05
2.588910780633700e-05	1.294455e-01	2.963041e-05
2.596082185389426e-05	1.298041e-01	2.875059e-05
2.609274062005928e-05	1.304637e-01	2.683211e-05
2.614890490939013e-05	1.307445e-01	2.615511e-05
2.620595292842589e-05	1.310298e-01	2.565321e-05
2.624909976632770e-05	1.312455e-01	2.547251e-05
2.630662888353010e-05	1.315331e-01	2.533806e-05
2.638457763013954e-05	1.319229e-01	2.535341e-05
2.647209681171937e-05	1.323605e-01	2.559768e-05
2.655897430190391e-05	1.327949e-01	2.592982e-05
2.666533756139544e-05	1.333267e-01	2.622459e-05
2.676214573231767e-05	1.338107e-01	2.630221e-05
2.685912837393892e-05	1.342956e-01	2.622917e-05
2.709418773407294e-05	1.354709e-01	2.581347e-05
2.723915691466068e-05	1.361958e-01	2.563177e-05
2.749799671931637e-05	1.374900e-01	2.553348e-05
2.765986686560727e-05	1.382993e-01	2.552726e-05
2.793404876096515e-05	1.396702e-01	2.548247e-05
2.827854660034034e-05	1.413927e-01	2.533277e-05
2.835937774396410e-05	1.417969e-01	2.532503e-05
2.844020888758786e-05	1.422010e-01	2.531936e-05
2.852104003121162e-05	1.426052e-01	2.531577e-05
2.860187117483537e-05	1.430094e-01	2.531425e-05
2.868270231845913e-05	1.434135e-01	2.531480e-05
2.876353346208289e-05	1.438177e-01	2.531743e-05
2.884436460570665e-05	1.442218e-01	2.532214e-05
2.894450606382907e-05	1.447225e-01	2.525579e-05
2.906449422994796e-05	1.453225e-01	2.534784e-05
2.909757499032879e-05	1.454879e-01	2.535791e-05
2.917124278288198e-05	1.458562e-01	2.524096e-05
2.921628041363119e-05	1.460814e-01	2.534383e-05
2.927086143392800e-05	1.463543e-01	2.534777e-05
2.929358686969719e-05	1.464679e-01	2.530577e-05
2.930868996016278e-05	1.465434e-01	2.524526e-05
2.931949237500931e-05	1.465975e-01	2.527106e-05
2.933150312717348e-05	1.466575e-01	2.546995e-05
2.934402109671131e-05	1.467201e-01	2.581916e-05
2.935918708725308e-05	1.467959e-01	2.635770e-05
2.937822661111960e-05	1.468911e-01	2.711157e-05
2.940739969663094e-05	1.470370e-01	2.839038e-05
2.944688952318053e-05	1.472345e-01	3.026946e-05
2.950906510021724e-05	1.475453e-01	3.303023e-05
2.957750436205460e-05	1.478875e-01	3.540188e-05
2.964460189345232e-05	1.482230e-01	3.705272e-05
2.965525508965370e-05	1.482763e-01	3.721263e-05
2.967656148205647e-05	1.483828e-01	3.736556e-05
2.971917426686200e-05	1.485959e-01	3.744099e-05
2.978080090110807e-05	1.489040e-01	3.714055e-05
2.984532846113541e-05	1.492266e-01	3.642540e-05
2.992053059130431e-05	1.496027e-01	3.527101e-05
2.996001422763687e-05	1.498001e-01	3.478667e-05
3.001265907608029e-05	1.500633e-01	3.415159e-05
3.008061896092987e-05	1.504031e-01	3.355768e-05
3.012672457190580e-05	1.506336e-01	3.338740e-05
3.018072340948578e-05	1.509036e-01	3.334412e-05
3.023782625915768e-05	1.511891e-01	3.344313e-05
3.031119597229623e-05	1.515560e-01	3.378367e-05
3.039744792999634e-05	1.519872e-01	3.426700e-05
3.049300407064627e-05	1.524650e-01	3.473353e-05
3.059706548616427e-05	1.529853e-01	3.505421e-05
3.068585715698817e-05	1.534293e-01	3.513628e-05
3.088299951833401e-05	1.544150e-01	3.506675e-05
3.109975677907279e-05	1.554988e-01	3.512753e-05
3.146618340473647e-05	1.573309e-01	3.571575e-05
3.184890988255436e-05	1.592446e-01	3.623697e-05
3.204150975791149e-05	1.602076e-01	3.654426e-05
3.231513250548300e-05	1.615757e-01	3.695886e-05
3.257549088175373e-05	1.628775e-01	3.739574e-05
3.274239763111473e-05	1.637120e-01	3.772250e-05
3.299794866337353e-05	1.649897e-01	3.817955e-05
3.316898305634277e-05	1.658449e-01	3.848187e-05
3.320280927729223e-05	1.660140e-01	3.854032e-05
3.322483948860333e-05	1.661242e-01	3.866074e-05
3.323995451243077e-05	1.661998e-01	3.887206e-05
3.325593748679273e-05	1.662797e-01	3.925206e-05
3.327122918996540e-05	1.663561e-01	3.980583e-05
3.329006729071951e-05	1.664503e-01	4.068559e-05
3.331548869792531e-05	1.665774e-01	4.199253e-05
3.335509028640315e-05	1.667755e-01	4.412060e-05
3.341098037100854e-05	1.670549e-01	4.695348e-05
3.348341128552169e-05	1.674170e-01	4.987235e-05
3.355068685409291e-05	1.677534e-01	5.162009e-05
3.361080728247383e-05	1.680540e-01	5.225249e-05
3.366661765292835e-05	1.683331e-01	5.214117e-05
3.373041586476547e-05	1.686521e-01	5.158469e-05
3.378901110005787e-05	1.689451e-01	5.087472e-05
3.386409617845746e-05	1.693205e-01	4.997184e-05
3.393924767707351e-05	1.696962e-01	4.939910e-05
3.399089575349071e-05	1.699545e-01	4.926256e-05
