time	V(input_signal)	V(v_out)	I(Speaker)
4.534876573514700e-07	2.505699e+00	2.071623e+00	2.589529e-01
4.599195986967674e-07	2.505780e+00	2.071623e+00	2.589529e-01
4.619276320537112e-07	2.505805e+00	2.071622e+00	2.589528e-01
4.669430258971684e-07	2.505868e+00	2.071622e+00	2.589527e-01
4.706345916092665e-07	2.505914e+00	2.071622e+00	2.589527e-01
4.744411381664730e-07	2.505962e+00	2.071621e+00	2.589526e-01
4.772261075554081e-07	2.505997e+00	2.071622e+00	2.589527e-01
4.783168695478004e-07	2.506011e+00	2.071622e+00	2.589528e-01
4.829718753745151e-07	2.506069e+00	2.071623e+00	2.589529e-01
4.849131915754386e-07	2.506094e+00	2.071622e+00	2.589528e-01
4.870634199829714e-07	2.506121e+00	2.071622e+00	2.589528e-01
4.914753991240059e-07	2.506176e+00	2.071623e+00	2.589529e-01
4.937236490932447e-07	2.506204e+00	2.071623e+00	2.589529e-01
4.971401961073319e-07	2.506247e+00	2.071622e+00	2.589527e-01
4.986745998211194e-07	2.506267e+00	2.071622e+00	2.589527e-01
4.996921282453573e-07	2.506279e+00	2.071622e+00	2.589528e-01
5.004552745635357e-07	2.506289e+00	2.071623e+00	2.589529e-01
5.012884333356926e-07	2.506299e+00	2.071624e+00	2.589529e-01
5.022843402482443e-07	2.506312e+00	2.071624e+00	2.589530e-01
5.042761540733476e-07	2.506337e+00	2.071625e+00	2.589531e-01
5.062369412127350e-07	2.506361e+00	2.071625e+00	2.589531e-01
5.082488846878351e-07	2.506387e+00	2.071624e+00	2.589530e-01
5.097020708910783e-07	2.506405e+00	2.071623e+00	2.589529e-01
5.135368348351777e-07	2.506453e+00	2.071622e+00	2.589528e-01
5.156656099786082e-07	2.506480e+00	2.071623e+00	2.589529e-01
5.210790944125390e-07	2.506548e+00	2.071624e+00	2.589530e-01
5.264925788464698e-07	2.506616e+00	2.071625e+00	2.589531e-01
5.319060632804006e-07	2.506684e+00	2.071626e+00	2.589532e-01
5.373195477143316e-07	2.506752e+00	2.071626e+00	2.589533e-01
5.427330321482624e-07	2.506820e+00	2.071626e+00	2.589533e-01
5.481465165821932e-07	2.506888e+00	2.071626e+00	2.589533e-01
5.535600010161241e-07	2.506956e+00	2.071626e+00	2.589532e-01
5.621544344730958e-07	2.507064e+00	2.071626e+00	2.589532e-01
5.707488679300675e-07	2.507172e+00	2.071626e+00	2.589532e-01
5.793433013870393e-07	2.507280e+00	2.071625e+00	2.589532e-01
5.879377348440109e-07	2.507388e+00	2.071625e+00	2.589531e-01
5.965321683009827e-07	2.507496e+00	2.071624e+00	2.589530e-01
6.051266017579545e-07	2.507604e+00	2.071623e+00	2.589529e-01
6.137210352149262e-07	2.507712e+00	2.071622e+00	2.589528e-01
6.166895785486227e-07	2.507750e+00	2.071622e+00	2.589528e-01
6.178769958821013e-07	2.507764e+00	2.071622e+00	2.589527e-01
6.208455392157978e-07	2.507802e+00	2.071622e+00	2.589527e-01
6.220329565492765e-07	2.507817e+00	2.071622e+00	2.589528e-01
6.244077912162336e-07	2.507847e+00	2.071622e+00	2.589527e-01
6.261889172164516e-07	2.507869e+00	2.071622e+00	2.589527e-01
6.285637518834088e-07	2.507899e+00	2.071621e+00	2.589527e-01
6.333507545681344e-07	2.507959e+00	2.071622e+00	2.589527e-01
6.354039989450772e-07	2.507985e+00	2.071622e+00	2.589528e-01
6.374477768337738e-07	2.508010e+00	2.071622e+00	2.589528e-01
6.395682349633571e-07	2.508037e+00	2.071623e+00	2.589529e-01
6.418799043561768e-07	2.508066e+00	2.071623e+00	2.589529e-01
6.465157696920010e-07	2.508124e+00	2.071623e+00	2.589529e-01
6.493171305239428e-07	2.508160e+00	2.071623e+00	2.589529e-01
6.517745770325643e-07	2.508190e+00	2.071623e+00	2.589529e-01
6.542188227337837e-07	2.508221e+00	2.071623e+00	2.589529e-01
6.565668554682582e-07	2.508251e+00	2.071623e+00	2.589529e-01
6.575568061379874e-07	2.508263e+00	2.071623e+00	2.589528e-01
6.604588439130268e-07	2.508300e+00	2.071622e+00	2.589528e-01
6.642194416979449e-07	2.508347e+00	2.071623e+00	2.589529e-01
6.679967357796007e-07	2.508394e+00	2.071624e+00	2.589530e-01
6.703485957002354e-07	2.508424e+00	2.071623e+00	2.589529e-01
6.739570215907822e-07	2.508469e+00	2.071623e+00	2.589529e-01
6.757129366555632e-07	2.508491e+00	2.071623e+00	2.589529e-01
6.810686581066560e-07	2.508559e+00	2.071624e+00	2.589529e-01
6.881734984558289e-07	2.508648e+00	2.071624e+00	2.589530e-01
6.923627778532992e-07	2.508700e+00	2.071622e+00	2.589528e-01
6.956628468977088e-07	2.508742e+00	2.071622e+00	2.589527e-01
6.963390519532435e-07	2.508750e+00	2.071622e+00	2.589527e-01
6.976914620643128e-07	2.508767e+00	2.071622e+00	2.589528e-01
6.994988207913069e-07	2.508790e+00	2.071622e+00	2.589528e-01
7.048038347808185e-07	2.508857e+00	2.071621e+00	2.589527e-01
7.143500019680881e-07	2.508977e+00	2.071620e+00	2.589525e-01
7.180893452760012e-07	2.509024e+00	2.071622e+00	2.589527e-01
7.204542262555451e-07	2.509053e+00	2.071622e+00	2.589528e-01
7.245656006515686e-07	2.509105e+00	2.071624e+00	2.589529e-01
