time	V(in)	V(out1)	V(out2)
0.000000000000000e+00	1.992188e+00	4.723327e+00	4.973475e+00
5.859375000000222e-06	1.992188e+00	4.723327e+00	4.973475e+00
1.757812500000067e-05	1.995443e+00	4.723327e+00	4.973475e+00
7.596461740383420e-05	2.011719e+00	4.723327e+00	4.973475e+00
1.396612816909308e-04	2.009898e+00	4.723327e+00	4.973475e+00
2.033579459780273e-04	2.009614e+00	4.723327e+00	4.973475e+00
2.670546102651239e-04	2.010867e+00	4.723327e+00	4.973475e+00
3.307512745522205e-04	2.013657e+00	4.723327e+00	4.973475e+00
3.944479388393171e-04	2.017985e+00	4.723327e+00	4.973475e+00
4.581446031264136e-04	2.023849e+00	4.723327e+00	4.973475e+00
5.218412674135101e-04	2.031250e+00	4.723327e+00	4.973475e+00
5.804350174135123e-04	2.029646e+00	4.723327e+00	4.973475e+00
6.390287674135145e-04	2.029506e+00	4.723327e+00	4.973475e+00
6.976225174135167e-04	2.030831e+00	4.723327e+00	4.973475e+00
7.562162674135190e-04	2.033622e+00	4.723327e+00	4.973475e+00
8.148100174135213e-04	2.037877e+00	4.723327e+00	4.973475e+00
8.734037674135235e-04	2.043597e+00	4.723327e+00	4.973475e+00
9.319975174135256e-04	2.050781e+00	4.723327e+00	4.973475e+00
9.822207316992418e-04	2.049665e+00	4.723327e+00	4.973475e+00
1.032443945984958e-03	2.049852e+00	4.723327e+00	4.973475e+00
1.082667160270674e-03	2.051340e+00	4.723327e+00	4.973475e+00
1.132890374556390e-03	2.054130e+00	4.723327e+00	4.973475e+00
1.183113588842107e-03	2.058222e+00	4.723327e+00	4.973475e+00
1.233336803127823e-03	2.063616e+00	4.723327e+00	4.973475e+00
1.283560017413539e-03	2.070312e+00	4.723327e+00	4.973475e+00
1.350524303127827e-03	2.069984e+00	4.723327e+00	4.973475e+00
1.417488588842115e-03	2.070695e+00	4.723327e+00	4.973475e+00
1.484452874556404e-03	2.072446e+00	4.723327e+00	4.973475e+00
1.551417160270692e-03	2.075236e+00	4.723327e+00	4.973475e+00
1.618381445984980e-03	2.079065e+00	4.723327e+00	4.973475e+00
1.685345731699269e-03	2.083935e+00	4.723327e+00	4.973475e+00
