time	V(in)	V(out1)	V(out2)
0.000000000000000e+00	0.000000e+00	4.723327e+00	4.973475e+00
1.474455773619576e-04	0.000000e+00	4.723327e+00	4.973475e+00
1.917703110622510e-04	6.353969e-03	4.723327e+00	4.973475e+00
2.155697308907250e-04	1.667670e-02	4.723327e+00	4.973475e+00
2.253998233181434e-04	1.953125e-02	4.723327e+00	4.973475e+00
3.662656137605464e-04	1.953125e-02	4.723327e+00	4.973475e+00
5.062995267534532e-04	2.309088e-02	4.723327e+00	4.973475e+00
7.504401517534532e-04	3.906250e-02	4.723327e+00	4.973475e+00
9.945807767534533e-04	5.371094e-02	4.723327e+00	4.973475e+00
1.727002651753453e-03	8.300781e-02	4.723327e+00	4.973475e+00
2.215283901753453e-03	1.123047e-01	4.723327e+00	4.973475e+00
2.459424526753453e-03	1.220703e-01	4.723327e+00	4.973475e+00
2.947705776753453e-03	1.513672e-01	4.723327e+00	4.973475e+00
3.680127651753453e-03	1.806641e-01	4.723327e+00	4.973475e+00
4.168408901753453e-03	2.099609e-01	4.723327e+00	4.973475e+00
4.412549526753453e-03	2.197266e-01	4.723327e+00	4.973475e+00
4.900830776753453e-03	2.490234e-01	4.723327e+00	4.973475e+00
5.633252651753453e-03	2.783203e-01	4.723327e+00	4.973475e+00
6.121533901753453e-03	3.076172e-01	4.723327e+00	4.973475e+00
6.365674526753453e-03	3.173828e-01	4.723327e+00	4.973475e+00
6.853955776753453e-03	3.466797e-01	4.723327e+00	4.973475e+00
7.586377651753453e-03	3.759766e-01	4.723327e+00	4.973475e+00
8.074658901753453e-03	4.052734e-01	4.723327e+00	4.973475e+00
8.318799526753453e-03	4.150391e-01	4.723327e+00	4.973475e+00
8.807080776753453e-03	4.443359e-01	4.723327e+00	4.973475e+00
9.539502651753453e-03	4.736328e-01	4.723327e+00	4.973475e+00
1.002778390175345e-02	5.029297e-01	4.723327e+00	4.973475e+00
1.027192452675345e-02	5.126953e-01	4.723327e+00	4.973475e+00
1.076020577675345e-02	5.419922e-01	4.723327e+00	4.973475e+00
1.149262765175345e-02	5.712891e-01	4.723327e+00	4.973475e+00
1.198090890175345e-02	6.005859e-01	4.723327e+00	4.973475e+00
1.222504952675345e-02	6.103516e-01	4.723327e+00	4.973475e+00
1.271333077675345e-02	6.396484e-01	4.723327e+00	4.973475e+00
1.344575265175345e-02	6.689453e-01	4.723327e+00	4.973475e+00
1.393403390175345e-02	6.982422e-01	4.723327e+00	4.973475e+00
1.417817452675345e-02	7.080078e-01	4.723327e+00	4.973475e+00
1.466645577675345e-02	7.373047e-01	4.723327e+00	4.973475e+00
1.539887765175345e-02	7.666016e-01	4.723327e+00	4.973475e+00
1.588715890175346e-02	7.958984e-01	4.723327e+00	4.973475e+00
1.613129952675346e-02	8.056641e-01	4.723327e+00	4.973475e+00
1.661958077675346e-02	8.349609e-01	4.723327e+00	4.973475e+00
1.735200265175346e-02	8.642578e-01	4.723327e+00	4.973475e+00
1.784028390175346e-02	8.935547e-01	4.723327e+00	4.973475e+00
1.808442452675346e-02	9.033203e-01	4.723327e+00	4.973475e+00
1.857270577675346e-02	9.326172e-01	4.723327e+00	4.973475e+00
1.930512765175346e-02	9.619141e-01	4.723327e+00	4.973475e+00
1.979340890175346e-02	9.912109e-01	4.723327e+00	4.973475e+00
2.028169015175346e-02	1.015625e+00	4.723327e+00	4.973475e+00
2.076997140175346e-02	1.040039e+00	4.723327e+00	4.973475e+00
2.125825265175346e-02	1.059570e+00	4.723327e+00	4.973475e+00
2.174653390175346e-02	1.088867e+00	4.723327e+00	4.973475e+00
2.223481515175346e-02	1.113281e+00	4.723327e+00	4.973475e+00
2.272309640175346e-02	1.137695e+00	4.723327e+00	4.973475e+00
2.321137765175346e-02	1.157227e+00	4.723327e+00	4.973475e+00
2.369965890175346e-02	1.186523e+00	4.723327e+00	4.973475e+00
2.418794015175346e-02	1.210938e+00	4.723327e+00	4.973475e+00
